ship_to_state,vaccine_distribution_phase,order_number,order_date,supplier_name,manufacturer_name,expiration_date,batch_number
ac,fase1,339082,2021-01-17 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2023-10-27 00:00:00,202010040
ac,fase1,339082,2021-01-17 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2023-10-16 00:00:00,202010028
ac,fase10,346118,2021-03-24 00:00:00,ORGANIZAÇÃO PAN-AMERICANA DA SAÚDE,ASTRAZENECA AB,2021-04-30 00:00:00,CTMAVB501
ac,fase10,346199,2021-03-24 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,
ac,fase11,346699,2021-03-31 00:00:00,FPUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,
ac,fase11,346703,2021-03-31 00:00:00,FIOCRUZ - FUNDAÇÃO OSWALDO CRUZ — End:: CÂMARA FRIA - SP Qt. Recolher: 400 Dt. Validade: 03/09/2021 Lote: 213VCDO01W,BIO-MANGUINHOS,2021-09-03 00:00:00,213VCDO01W
ac,fase12,347400,2021-04-07 00:00:00,FUNDAÇÃO BUTANTAN |,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,
ac,fase12,347426,2021-04-07 00:00:00,FIOCRUZ - FUNDAÇÃO OSWALDO CRUZ,FIOCRUZ - FUNDAÇÃO OSWALDO CRUZ -,2021-09-05 00:00:00,213VCDOO0O3W
ac,fase13,348307,,BIO-MANGUINHOS,BIO-MANGUINHOS,,
ac,fase13,349706,2021-04-28 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,,
ac,fase14,349109,2021-04-21 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN — .,2022-03-31 00:00:00,210147
ac,fase14,349105,2021-04-21 00:00:00,FIOCRUZ - FUNDAÇÃO OSWALDO CRUZ,BIO-MANGUINHOS - ',2021-09-17 00:00:00,213VCDOO08SVA
ac,fase15,349706,2021-04-28 00:00:00,FUNDAÇÃO BUTANTAN |,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,210149
ac,fase15,349683,2021-04-28 00:00:00,FIOCRUZ - FUNDAÇÃO OSWALDO CRUZ,BIO-MANGUINHOS,2021-09-20 00:00:00,213VCD027Z7
ac,fase16,350017,2021-04-30 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,,
ac,fase17,350077,,FIOCRUZ - FUNDAÇÃO OSWALDO CRUZ,BIO-MANGUINHOS,2021-09-27 00:00:00,213VCDO0427
ac,fase17,350105,2021-05-01 00:00:00,PFIZER EXPORT B.V,PFIZER MANUFACTURING BELGIUM NV,2021-08-31 00:00:00,EX2405
ac,fase18,350615,,ORGANIZAÇCAÃAO PANAMERICANA DA SAUDE NO BRASIL,ASTRAZENECA AB,2021-07-31 00:00:00,ABW4731
